word,list_number
abandon,8
abstract,6
academy,5
access,4
accommodate,9
accompany,8
accumulate,8
accurate,6
achieve,2
acknowledge,6
acquire,2
adapt,7
adequate,4
adjacent,10
adjust,5
administration,2
adult,7
advocate,7
affect,2
aggregate,6
aid,7
albeit,10
allocate,6
alter,5
alternative,3
ambiguous,8
amend,5
analogy,9
analyse,1
annual,4
anticipate,9
apparent,4
append,8
appreciate,8
approach,1
appropriate,2
approximate,4
considerable,3
arbitrary,8
area,1
aspect,2
assemble,10
assess,1
assign,6
assist,2
assume,1
assure,9
attach,6
attain,9
attitude,4
attribute,4
author,6
authority,1
automate,8
available,1
aware,5
behalf,9
benefit,1
bias,8
bond,6
brief,6
bulk,9
capable,6
capacity,5
category,2
cease,9
challenge,5
channel,7
chapter,2
chart,8
chemical,7
circumstance,3
cite,6
civil,4
clarify,8
consist,1
classic,7
clause,5
code,4
coherent,9
coincide,9
collapse,10
colleague,10
commence,9
comment,3
commission,2
commit,4
commodity,8
communicate,4
community,2
compatible,9
compensate,3
compile,10
complement,8
complex,2
component,3
compound,5
comprehensive,7
comprise,7
compute,2
conceive,10
concentrate,4
concept,1
conclude,2
concurrent,9
conduct,2
confer,4
confine,9
confirm,7
conflict,5
conform,8
consent,3
consequent,2
constant,3
constitute,1
constrain,3
construct,2
consult,5
consume,2
contact,5
contemporary,8
context,1
contract,1
contradict,8
contrary,7
contrast,4
contribute,3
controversy,9
convene,3
converse,9
convert,7
convince,10
cooperate,6
coordinate,3
core,3
corporate,3
correspond,3
couple,7
create,1
credit,2
criteria,3
crucial,8
culture,2
currency,8
cycle,4
data,1
debate,4
decade,7
decline,5
deduce,3
define,1
definite,7
demonstrate,3
denote,8
deny,7
depress,10
derive,1
design,2
despite,4
detect,8
deviate,8
device,9
devote,9
differentiate,7
dimension,4
diminish,9
discrete,5
discriminate,6
displace,8
display,6
dispose,7
distinct,2
distort,9
distribute,1
diverse,6
document,3
domain,6
domestic,4
dominate,3
draft,5
drama,8
duration,9
dynamic,7
economy,1
edit,6
element,2
eliminate,7
emerge,4
emphasis,3
empirical,7
enable,10
encounter,5
energy,5
enforce,5
enhance,5
enormous,6
ensure,10
entity,3
environment,5
equate,1
equip,2
equivalent,7
erode,9
error,4
establish,1
estate,6
estimate,1
ethic,9
ethnic,4
evaluate,2
eventual,8
evident,1
evolve,5
exceed,6
exclude,3
exhibit,8
expand,5
expert,6
explicit,6
exploit,8
export,1
expose,5
external,5
extract,7
facilitate,5
factor,1
feature,2
federal,6
fee,7
file,4
final,6
finance,6
found,7
framework,2
function,1
fund,9
fundamental,3
furthermore,1
gender,3
generate,5
generation,6
globe,6
goal,5
grade,5
grant,7
guarantee,4
guideline,7
hence,4
hierarchy,8
highlight,4
hypothesis,7
identical,8
identify,7
ideology,1
ignorance,7
illustrate,6
image,3
